Periodos,TUR,IPC,PH,GH,PC,PROD,CL,INF
2008-Q1,83.36,65.63842957,113.8825494,113.8114418,106.7302007,103.3788743,104.0112849,0.493333333
2008-Q2,87.752,66.21364328,113.1925664,112.0221791,106.0406912,92.80113393,119.1838626,0.176666667
2008-Q3,85.9,67.15149548,111.4335734,104.8679319,104.8472,89.24078935,121.4875272,0.606666667
2008-Q4,85.31,68.71999328,110.3826271,114.4040695,105.2603249,95.17222617,115.3042944,0.836666667
2009-Q1,79.02,69.69186442,112.9343276,111.7218981,104.8155102,102.1335476,104.4558258,0.343333333
2009-Q2,79.131,70.16156761,104.2595999,92.32050854,104.548703,83.23465748,125.6856977,0.08
2009-Q3,80.919,70.60070555,103.3922521,100.6495193,104.650642,90.64029441,116.0430796,0.336666667
2009-Q4,84.198,71.45169719,102.8229219,99.79594586,105.3953329,92.34718316,119.5239022,0.41
2010-Q1,80.523,73.00448066,104.0710987,98.6476596,100.1851159,93.20945237,106.9706317,0.793333333
2010-Q2,83.723,72.94024184,96.76963823,89.2653307,100.7084549,85.14442833,117.6310628,-0.326666667
2010-Q3,84.086,73.19201656,94.62484915,83.13598878,99.65320246,82.61804495,121.2668851,0.34
2010-Q4,87.476,74.48715402,94.20474245,81.88603341,100.1274768,86.50694763,121.1448753,0.64
2011-Q1,84.942,75.53263417,95.19582568,85.19542305,97.30576548,86.33778427,111.2410777,0.353333333
2011-Q2,86.608,75.34407116,93.2016677,81.9575995,98.40286612,83.76870503,121.6994617,-0.25
2011-Q3,87.951,75.6575916,90.73232764,84.65732162,98.69169456,83.12560447,121.0878434,0.296666667
2011-Q4,91.032,77.09447683,90.67686684,92.53115571,99.25351356,89.49856884,115.0707816,0.856666667
2012-Q1,86.402,78.46425066,94.77420837,89.45017421,97.50843603,92.52645493,107.1166513,0.323333333
2012-Q2,88.608,78.25615522,93.64549789,87.24924055,97.50015517,89.74060823,114.7340273,-0.056666667
2012-Q3,89.473,79.12785224,93.13043126,86.47642963,96.78513838,87.58340467,114.5695858,0.433333333
2012-Q4,92.166,80.26423863,94.72098355,92.69806457,97.81756175,88.60224624,116.6120746,0.473333333
2013-Q1,87.711,81.35705271,95.42908655,88.01428009,98.54026031,105.5084669,111.9460323,0.54
2013-Q2,90.557,81.7431937,94.375152,89.1009238,96.57212361,106.6150942,117.41819,-0.106666667
2013-Q3,90.332,81.84962037,93.35585327,88.79024512,96.37806306,106.5931182,115.4322545,0.21
2013-Q4,93.618,83.19510387,93.59738946,94.69865145,96.032209,107.7447827,116.4855257,0.66
2014-Q1,89.732,84.73916702,91.44859752,86.32405527,95.52812865,106.3395935,111.5151301,0.47
2014-Q2,91.756,84.67481018,91.6006293,87.93810005,95.37270457,102.5586223,115.8918809,-0.113333333
2014-Q3,92.165,85.24375463,91.38858498,85.29947109,94.35717499,101.4038124,114.3986159,0.36
2014-Q4,95.833,86.67412905,91.96984931,90.55098408,95.15453004,105.0957247,114.4179837,0.616666667
2015-Q1,93.107,87.3387323,94.54833105,88.80297397,96.36236036,103.7205769,111.1847634,0.17
2015-Q2,94.084,87.16143799,94.40441525,89.19930342,95.30550942,105.7877653,110.5196763,-0.196666667
2015-Q3,95.198,87.47270469,94.32428421,90.0147694,96.22611241,101.0375472,113.8602118,0.243333333
2015-Q4,98.619,88.64540137,94.35057542,96.02314027,96.42927674,103.3019434,116.3045279,0.49
2016-Q1,95.659,89.6913877,91.08440711,91.98488612,96.1727978,99.3383799,110.6852941,0.323333333
2016-Q2,96.94,89.39164012,90.71152917,92.25561103,97.10147561,96.58958378,118.4444053,-0.22
2016-Q3,97.117,89.90799727,90.73050457,95.03249614,96.36907862,98.78969615,118.2674236,0.383333333
2016-Q4,100.713,91.52067432,90.32059032,101.6043452,97.37818472,104.0495441,117.4831947,0.616666667
2017-Q1,97.969,94.1570507,89.5156221,100.1750598,97.29777602,98.96439009,106.0558126,0.963333333
2017-Q2,97.838,94.84268886,90.16421478,98.91878782,98.99475404,98.52849872,113.2947634,0.083333333
2017-Q3,97.861,95.73667288,89.58283613,95.45137309,100.2629985,92.82012723,116.9130426,0.393333333
2017-Q4,100.607,97.55544204,90.92060143,100.9160963,100.4564449,94.81046082,112.7146844,0.75
2018-Q1,98.64,99.15284372,100.6178512,100.5923249,99.97085316,99.43573199,95.43336778,0.41
2018-Q2,100.104,99.17513072,100.0821091,100.3901398,100.0112772,99.29112041,101.5670914,-0.036666667
2018-Q3,99.827,100.4393664,99.47158521,96.93957633,100.0245732,98.97168249,102.0664645,0.513333333
2018-Q4,101.428,102.2543333,99.82845446,102.077959,99.99329649,102.3100822,100.99729,0.69
2019-Q1,99.774,103.221,100.6300227,101.4481561,99.92672825,101.472237,98.68040065,0.15
2019-Q2,100.419,103.3543333,100.5653676,100.6835196,100.0008436,98.5877309,105.0138691,-0.06
2019-Q3,100.836,103.7663333,99.45843995,97.42684703,100.042483,96.76488609,108.7250751,0.206666667
2019-Q4,102.731,105.261,99.79895066,100.9668397,100.093415,102.5095235,104.9957763,0.636666667
2020-Q1,99.667,106.7246667,100.1098602,88.58321316,100.0283825,89.38599447,116.5325019,0.283333333
2020-Q2,79.538,106.22,77.83177339,26.10505963,99.09320276,41.40029668,186.8704227,-0.026666667
2020-Q3,89.287,107.8083333,72.47892925,47.53789522,99.36909059,55.77074254,133.8770977,0.426666667
2020-Q4,95.12,108.967,74.85062489,64.87341102,99.41795625,71.82596183,120.9523559,0.356666667
2021-Q1,92.798,110.9803333,73.69403743,62.48820739,98.98217716,72.76579482,116.0851612,0.773333333
2021-Q2,96.837,112.5423333,80.00687447,79.54721953,99.12884015,86.51862786,107.3207364,0.353333333
2021-Q3,97.247,114.0606667,89.91557096,84.80212475,99.59437794,86.84710995,101.6037981,0.466666667
2021-Q4,101.242,116.5843333,95.30210589,94.6494003,99.78384342,93.91338157,97.78865995,0.78
2022-Q1,100.39,119.0473333,89.85296061,88.48231753,99.72706338,96.55918311,96.72562537,0.803333333
2022-Q2,102.948,121.2916667,92.17830707,100.1193837,98.55982604,101.7741679,98.18865541,0.52
2022-Q3,102.09,123.774,93.36819584,97.97101781,98.80204667,99.58688749,97.38722196,0.686666667
2022-Q4,105.077,125.917,93.2185347,105.1900662,100.9436596,107.5677304,96.52666416,0.51
2023-Q1,102.791,127.9236667,92.41219519,92.52774444,101.0662286,98.30942927,107.0562093,0.503333333
2023-Q2,104.013,128.2203333,93.70734335,95.75451964,102.8227141,102.3657636,109.1337624,-0.046666667
2023-Q3,104.608,129.499,93.72905736,95.04830967,103.6504806,97.3433903,110.5228645,0.49
2023-Q4,107.266,131.4756667,92.80090517,98.49451357,102.4983717,103.1498277,109.4379556,0.576666667
2024-Q1,104.566,133.767,95.35605011,104.7200104,104.120723,101.1838682,119.6372869,0.423333333
2024-Q2,106.074,134.339,96.4129284,103.0132602,106.1655104,99.53825802,127.489844,0.13
2024-Q3,106.282,136.032,95.68078653,95.74709242,105.6570909,95.71293966,127.0549858,0.37
2024-Q4,107.21,137.4003333,95.75537367,100.1900294,105.8867764,102.141586,126.7999795,0.456666667
2025-Q1,104.917,138.7433333,94.87649183,97.33199463,106.6097605,97.19805815,128.2790521,0.293333333
2025-Q2,106.758,140.0123333,94.61621583,95.53774401,106.626283,95.10115273,134.7216465,0.296666667
2025-Q3,106.676,140.948,92.56302479,90.45328399,104.6751516,91.14028049,137.2470195,0.186666667
